run_id,timestamp,model,backend,temperature,row_no,id,sektor,kl,sub_indikator,target_2025,satuan,gold,gold_suspect,pred,benar,confidence,source_type,evidence_year,summary_pred,summary_gold,source_url_pred,domain,domain_goid,url_dari_search,pakai_template,status,error,n_search,n_search_gagal,n_query,queries_str,in_tok,out_tok,latency_s
20260918_113127,2026-09-18T11:34:42,gemma-4-26B-A4B-it,serper,0.0,1,12,Kesehatan,KEMENTERIAN KESEHATAN,KP 02.12.08 - Kabupaten/kota yang mendeklarasikan 5 Pilar STBM,30,kab/kota,True,False,True,True,95,media,2025,"Program berjalan, ditandai dengan adanya kegiatan verifikasi lapangan oleh tim verifikator STBM 5 Pilar tingkat nasional di berbagai daerah seperti Kota Malang dan Blitar pada Oktober 2025. Kegiatan ini merupakan bagian dari proses penilaian untuk mencapai status deklarasi 5 pilar STBM di tingkat kabupaten/kota.","Program berjalan, ditandai dengan penetapan alokasi anggaran daerah untuk survei verifikasi 5 pilar dan deklarasi level provinsi/kabupaten/kota.",https://malangkota.go.id/2025/10/01/verifikator-stbm-5-pilar-kunjungi-kota-malang/,malangkota.go.id,True,True,True,OK,,3,0,3,"laporan kinerja 2025 Kementerian Kesehatan STBM 5 pilar deklarasi | site:kemkes.go.id ""STBM"" 2025 deklarasi | ""verifikator STBM 5 pilar"" 2025",6146,258,3.06
20260918_113127,2026-09-18T11:34:46,gemma-4-26B-A4B-it,serper,0.0,2,13,Pertahanan,KEMENTERIAN LUAR NEGERI,KP 02.09.03 - Persentase kebijakan di bidang kerja sama pembangunan internasional Indonesia yang telah sesuai dengan prioritas nasional,20,persen,True,False,True,True,90,lkj,2025,"Program berjalan, ditandai dengan adanya dokumen Laporan Kinerja (LKj) Tahun 2025 dari berbagai unit kerja di Kementerian Luar Negeri yang mencantumkan pelaksanaan tugas terkait kerja sama pembangunan internasional. Selain itu, portal Satu Data Kemlu telah mencantumkan target dan indikator kinerja tersebut sebagai bagian dari pelaksanaan program tahun 2025.","Program berjalan, ditandai dengan pelaksanaan sejumlah aktivitas konkret kerja sama pembangunan internasional oleh Kemlu sepanjang Tahun 2025, seperti pertemuan bilateral dan kesepakatan kerja sama dengan negara mitra di kawasan Pasifik, penyaluran bantuan pangan dan kemanusiaan ke Palestina yang diumumkan langsung oleh Menlu/Wamenlu, serta penyusunan kebijakan turunan (Grand Design dan aturan hibah) yang diselaraskan dengan RPJMN 2025-2029. Aktivitas ini tercatat lewat rilis resmi Kemlu maupun Sekretariat Negara, meskipun angka persentase realisasi kebijakan sesuai prioritas nasional untuk Tahun 2025 belum dipublikasikan secara spesifik.",https://kemlu.go.id/files/repositori/81934/177450796869c4d7c008da3_LKJ_Final_2025.pdf,kemlu.go.id,True,True,True,OK,,2,0,2,"laporan kinerja 2025 Kementerian Luar Negeri kerja sama pembangunan internasional prioritas nasional | site:kemlu.go.id ""Persentase kebijakan di bidang kerja sama pembangunan internasional Indonesia yang telah sesuai dengan prioritas nasional"" 2025",3953,263,4.07
20260918_113127,2026-09-18T11:34:53,gemma-4-26B-A4B-it,serper,0.0,3,15,Industri,KEMENTERIAN LUAR NEGERI,"KP 02.09.04 - Persentase keberhasilan promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi terutama pada sektor prioritas",80,persen,True,False,True,True,90,lkj,2025,"Program berjalan, ditandai dengan adanya dokumen Laporan Kinerja (LKj) 2025 dari berbagai direktorat di Kementerian Luar Negeri yang melaporkan capaian indikator efektivitas diplomasi ekonomi. Dokumen tersebut secara spesifik mencantumkan kegiatan promosi dan penguatan kerja sama ekonomi sebagai bagian dari pelaksanaan program tahun 2025.","Program berjalan, ditandai dengan penetapan oleh Kemenlu melalui Ditjen Hubungan Ekonomi dan Kerja Sama Pembangunan (HEKSP) terkait indikator ini sebagai indikator kinerja utama dan melaporkan capaiannya dalam Laporan Kinerja Tahun 2025. Realisasi tercatat 93,75 persen terhadap target 80 persen, dengan capaian 117,19 persen, berasal dari 7 norma dan 4 kesepakatan yang terealisasi dari target 8 norma dan 4 kesepakatan. Pelaksanaannya didukung partisipasi Indonesia pada berbagai forum seperti Sidang UNIDO ke-21, KTM UNCTAD ke-16, WTO CTE, WIPO SCCR-47, dan Codex Alimentarius sepanjang 2025.",https://kemlu.go.id/files/repositori/65414/177580771769d8ace576a9e_LKj_Direktorat_Eropa_II_2025_Publikasi.pdf,kemlu.go.id,True,True,True,OK,,2,0,2,"laporan kinerja 2025 Kementerian Luar Negeri diplomasi ekonomi sektor prioritas | site:kemlu.go.id ""diplomasi ekonomi"" promosi sektor prioritas 2025",4217,269,6.92
20260918_113127,2026-09-18T11:34:58,gemma-4-26B-A4B-it,serper,0.0,4,19,Sosial,KEMENTERIAN LUAR NEGERI,KP 07.16.02 - Indeks Diplomasi Perlindungan WNI di Luar Negeri,98.7,Indeks,True,False,True,True,90,siaran_pers,2025,"Program berjalan, ditandai dengan pernyataan resmi Menteri Luar Negeri pada Januari 2025 yang menetapkan pelindungan WNI sebagai prioritas diplomasi, serta adanya kegiatan konkret seperti evakuasi WNI pada Juni 2025. Dokumen Laporan Keuangan Semester I 2025 juga menunjukkan adanya aktivitas anggaran pada Kementerian Luar Negeri.","Program berjalan, ditandai dengan terlaksananya ketiga jalur pembentuk indeks ini sepanjang Tahun 2025 sesuai Manual Indikator Kinerja Dit. PWNI 2025, yaitu diplomasi di forum internasional, pembentukan kebijakan nasional, dan kampanye penyadaran publik. Di jalur internasional, ASEAN mengadopsi Deklarasi tentang Pemberantasan Kejahatan Siber dan Penipuan Daring pada September 2025, yang disambut Indonesia dalam pertemuan Dewan Masyarakat Politik-Keamanan ASEAN pada rangkaian KTT ASEAN ke-47 di Kuala Lumpur, 26-28 Oktober 2025. Di jalur operasional, Pemerintah memulangkan 554 WNI korban TPPO penipuan daring dari Myawaddy, Myanmar, dalam dua tahap pada 18 dan 19 Maret 2025, dengan pengawalan Tim Pelindungan WNI Kemlu bersama KBRI Bangkok dan Yangon serta Hubinter Polri, dan secara agregat 27.768 WNI dipulangkan dari berbagai situasi krisis sepanjang 2025. Di jalur kebijakan nasional, terbit Kepmenlu Nomor 15 Tahun 2025 tentang Penetapan Perwakilan Pelindungan Terpadu serta Perjanjian Kerja Sama Kemlu dengan BPJS Ketenagakerjaan pada 22 Januari 2025. Layanan Kampanye Penyadaran Publik Dit. PWNI juga terdaftar aktif dengan standar pelayanan resmi di SIPPN Kementerian PANRB.",https://kemlu.go.id/berita/menlu-sugiono-sebut-pelindungan-wni--diaspora--prioritas-diplomasi-dan-asta-cita?type=publication,kemlu.go.id,True,True,True,OK,,2,0,2,laporan kinerja 2025 Kementerian Luar Negeri Indeks Diplomasi Perlindungan WNI | siaran pers Kementerian Luar Negeri perlindungan WNI 2025,4097,244,4.57
20260918_113127,2026-09-18T11:35:07,gemma-4-26B-A4B-it,serper,0.0,5,20,Pertahanan,KEMENTERIAN PERTAHANAN,KP 02.01.01 - Persentase pemenuhan alutsista,30.3,persen,True,False,True,True,80,siaran_pers,2025,"Program berjalan, ditandai dengan adanya kegiatan resmi Kementerian Pertahanan pada tahun 2025, termasuk kehadiran Menhan dalam kegiatan internasional (Bastille Day 2025) dan pengajuan anggaran strategis untuk peremajaan serta pemenuhan alutsista tahun 2025. Meskipun laporan capaian angka spesifik belum tersedia dalam bentuk LKj 2025, aktivitas kementerian menunjukkan program pemenuhan alutsista tetap menjadi prioritas anggaran dan operasional pada tahun berjalan.","Program berjalan, ditandai dengan pelaksanaan sejumlah kegiatan modernisasi dan pemenuhan alutsista oleh Kemhan bersama TNI sepanjang Tahun 2025, seperti uji coba alutsista produksi dalam negeri, kelanjutan program alih teknologi untuk pengadaan kapal selam bersama mitra asing, hingga penambahan alutsista baru untuk memperkuat matra udara, yang dipublikasikan lewat rilis resmi di laman kemhan.go.id.",https://www.kemhan.go.id/category/siaran-pers,www.kemhan.go.id,True,True,True,OK,,3,0,3,"laporan kinerja 2025 Kementerian Pertahanan pemenuhan alutsista | siaran pers Kementerian Pertahanan pemenuhan alutsista 2025 | site:kemhan.go.id ""pemenuhan alutsista"" 2025",6079,279,8.72
20260918_113127,2026-09-18T11:35:11,gemma-4-26B-A4B-it,serper,0.0,6,26,Pangan,BADAN KARANTINA INDONESIA,KP 02.10.13 - Persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK),85,persen,True,False,True,True,90,siaran_pers,2025,"Program berjalan, ditandai dengan adanya siaran pers resmi Badan Karantina Indonesia pada Juli 2025 mengenai tindakan pemusnahan komoditas yang tidak sesuai standar keamanan hayati di Jawa Timur. Selain itu, terdapat laporan kinerja unit kerja (BKHIT) yang mencakup pelaksanaan tugas pencegahan masuk dan tersebarnya HPHK pada tahun 2025.","Program berjalan, ditandai dengan terlaksananya kegiatan pemantauan daerah sebar HPHK sepanjang Tahun 2025 oleh unit pelaksana teknis Badan Karantina Indonesia di berbagai wilayah, yang dituntaskan melalui seminar hasil pemantauan tingkat regional dan nasional bersama dinas peternakan provinsi/kabupaten-kota, akademisi, dan pemangku kepentingan terkait (misalnya di Sumatera Barat dan regional Sulawesi). Pelaksanaan ini juga terkonfirmasi dari dokumen anggaran (RKA/DIPA) yang memuat komponen persiapan, pelaksanaan, dan seminar pemantauan daerah sebar HPHK, serta dari Laporan Kinerja Tahun 2025 UPT Barantin yang dipublikasikan di laman resmi dan PPID Barantin, yang memuat indikator temuan dan tindak lanjut HPHK. Angka nasional persentase wilayah terkendali dari HPHK Tahun 2025 sendiri belum ditemukan dipublikasikan.",https://karantinaindonesia.go.id/repository/main-web/performance-reports/01KWZSR2N3FAYJP3MH0DM9GGED.pdf,karantinaindonesia.go.id,True,True,True,OK,,2,0,2,laporan kinerja 2025 Badan Karantina Indonesia persentase wilayah terkendali HPHK | siaran pers Badan Karantina Indonesia pengendalian HPHK 2025,4250,248,4.9
20260918_113127,2026-09-18T11:35:15,gemma-4-26B-A4B-it,serper,0.0,7,32,Infrastruktur,KEMENTERIAN PEKERJAAN UMUM,PP 02.12 - Efisiensi pemanfaatan air irigasi,"0,34",USD/m3,True,False,True,True,90,siaran_pers,2025,"Program berjalan, ditandai dengan pelaksanaan kegiatan Tahun Anggaran 2025 oleh Kementerian PU yang mencakup percepatan pembukaan pintu air dan implementasi Instruksi Presiden Nomor 02 Tahun 2025 untuk efisiensi pemanfaatan air irigasi. Siaran pers resmi Kementerian PU mengonfirmasi target dan langkah-langkah teknis yang sedang dijalankan pada tahun 2025.","Program berjalan, ditandai dengan terealisasinya pembangunan dan rehabilitasi jaringan irigasi oleh Kementerian PU sepanjang Tahun Anggaran 2025 dengan luas 589.605,80 hektare, serta terkonfirmasinya pelaksanaan pekerjaan fisik rehabilitasi jaringan irigasi di daerah melalui publikasi resmi Kementerian PU sepanjang 2025 (misalnya rehabilitasi tahap II DI Tingal di Temanggung yang progres fisiknya mencapai 60% per akhir September 2025). Target angka indikator sendiri, yaitu 0,34 USD/m³, memang tercantum sebagai sasaran kerja Kementerian PU tahun 2025 di bidang sumber daya air. Angka realisasi efisiensi pemanfaatan air irigasi tahun 2025 dalam satuan USD/m³ belum dipublikasikan, karena Laporan Kinerja Ditjen SDA terbaru yang terbit masih edisi Tahun 2024.",https://pu.go.id/berita/rapat-koordinasi-rencana-kerja-tahun-2025-kementerian-pu-fokus-pada-efisiensi-infrastruktur-untuk-dukung-pertumbuhan-ekonomi,pu.go.id,True,True,True,OK,,2,0,2,"laporan kinerja 2025 Kementerian Pekerjaan Umum efisiensi pemanfaatan air irigasi USD/m3 | site:pu.go.id ""efisiensi pemanfaatan air irigasi"" 2025",4140,279,3.19
20260918_113127,2026-09-18T11:35:20,gemma-4-26B-A4B-it,serper,0.0,8,41,Birokrasi,KEMENTERIAN KEUANGAN,KP 07.12.01 - Indeks Kinerja Kebijakan Penerimaan Negara,100,persen,True,False,True,True,90,lkj,2025,"Program berjalan, ditandai dengan adanya Laporan Kinerja Kementerian Keuangan Tahun 2025 yang mencatat raihan predikat Unggul pada penilaian Indeks Kualitas Kebijakan tahun 2025. Dokumen tersebut secara spesifik melaporkan capaian kinerja tahun berjalan terkait kualitas kebijakan di lingkungan Kementerian Keuangan.","Program berjalan, ditandai dengan realisasi Tahun 2025 sebesar 112,94 (target 100,00), sehingga capaian indikator ini melebihi target yang ditetapkan (112,94%), sebagaimana dipublikasikan dalam Laporan Kinerja Direktorat Jenderal Pajak Tahun 2025.",https://ppiddjkn.kemenkeu.go.id/storage/20260303-9614.pdf,ppiddjkn.kemenkeu.go.id,True,True,True,OK,,1,0,1,laporan kinerja 2025 Kementerian Keuangan Indeks Kinerja Kebijakan Penerimaan Negara,2144,187,4.99
20260918_113127,2026-09-18T11:35:26,gemma-4-26B-A4B-it,serper,0.0,9,47,Birokrasi,KEMENTERIAN KEUANGAN,KP 07.14.01 - Imbal hasil (yield) SBN,6.8-7.2,persen,True,False,True,True,90,siaran_pers,2025,"Program berjalan, ditandai dengan adanya laporan kinerja pasar SBN sepanjang tahun 2025 yang mencatat fluktuasi yield SBN (misalnya yield SUN 10 tahun yang tercatat di level 6,36% pada triwulan III 2025). Data ini menunjukkan aktivitas pengelolaan pembiayaan negara melalui instrumen surat berharga sedang berlangsung secara aktif di tahun berjalan.","Program berjalan dan targetnya terpenuhi, ditandai dengan pelaporan resmi posisi yield SBN dalam publikasi APBN sepanjang 2025. Yield SBN 10 tahun konsisten menurun hingga berada di level 6,71% secara year to date, atau 6,01% pada akhir periode per 31 Desember 2025, artinya berada di bawah rentang target 2025 sebesar 6,8-7,2 persen. Penurunan ini setara sekitar 100 basis poin dari posisi 7,01% di akhir 2024. Lelang dan penerbitan SBN juga berjalan rutin dan datanya dipublikasi DJPPR.",https://www.kemenkeu.go.id/informasi-publik/publikasi/siaran-pers/Siaran-Pers-Kinerja-APBN-Terjaga,www.kemenkeu.go.id,True,True,True,OK,,2,0,2,laporan kinerja 2025 Kementerian Keuangan yield SBN imbal hasil surat berharga negara | siaran pers Kementerian Keuangan yield SBN 2025,3985,245,6.66
20260918_113127,2026-09-18T11:35:31,gemma-4-26B-A4B-it,serper,0.0,10,55,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.04 - Peningkatan luas panen padi KSPP Nusa Tenggara Timur,10930,ha,True,False,True,True,90,media,2025,"Program berjalan, ditandai dengan adanya laporan evaluasi kegiatan lahan dan irigasi pertanian di NTT tahun 2025 serta publikasi data BPS mengenai ringkasan eksekutif luas panen dan produksi padi Provinsi Nusa Tenggara Timur tahun 2025. Data menunjukkan adanya aktivitas pemantauan luas panen padi yang sedang berlangsung di wilayah tersebut pada tahun berjalan.","Program berjalan, ditandai dengan tersalurkannya intervensi Kementerian Pertanian di NTT sepanjang Tahun 2025 berupa alokasi Cetak Sawah Rakyat 13.810 ha dan optimasi lahan non-rawa 28.723 ha di 22 kabupaten/kota melalui Ditjen Lahan dan Irigasi Pertanian, bantuan 3.072 unit alsintan, bantuan benih untuk 17.567 ha, serta pembentukan 81 Brigade Pangan, sebagaimana dipublikasikan Dinas Pertanian dan Ketahanan Pangan Provinsi NTT. Hasilnya, luas tanam padi 2025 tercatat 250.528 ha (96,11% dari target), luas panen naik 25,92% dibanding 2024, dan produksi GKG mencapai 968.324 ton atau naik 36,81%. Catatan: angka luas panen padi khusus di dalam kawasan KSPP/food estate NTT (Sumba Tengah dan sekitarnya) belum ditemukan dipublikasikan secara terpisah.",https://distankp.nttprov.go.id/rapat-evaluasi-pelaksanaan-kegiatan-lahan-dan-irigasi-pertanian-tingkat-provinsi-ntt-2025-konsolidasi-menuju-swasembada-pangan/,distankp.nttprov.go.id,True,True,True,OK,,1,0,1,laporan kinerja 2025 Kementerian Pertanian peningkatan luas panen padi NTT,2335,226,4.32
